,formatted_address,google_place_id,input_string,latitude,longitude
221,"Ben Zakai, Israel",ChIJMyYZNPi6AhURW5hJUquB-C0,בן זכאי,31.85722299999999,34.727432
222,"Bnaya, Israel",ChIJ_eTWfkq6AhURUD27nYbCBvI,בניה,31.84344399999999,34.751793
223,"Givat Hen, Israel",ChIJwct4Ehs4HRURGTFS4wj2q-w,"גבעת ח""ן",32.16758,34.875514
224,"Ra'anana, Israel",ChIJ4YUw-HI4HRUR0bpdpwAdTxE,רעננה,32.184781,34.871326
225,"Rishpon, Israel",ChIJSzegs7ZHHRURj609UxDsDwo,רשפון,32.201856,34.824723
226,"Beit Guvrin-Maresha National Park, Israel",ChIJuQKlsmTrAhURib1Zc_Ek5ow,בית גוברין,31.601631,34.895464000000004
227,"Beit Nir, Israel",ChIJXbGqVtfqAhURXO2LwiPVjrM,בית ניר,31.647627000000004,34.873107
228,"Gal On, Israel",ChIJWy3BVsaUAhURqurhLqgjy1k,גלאון,31.63337099999999,34.848898
229,"Lachish, Israel",ChIJJ1wXPMOSAhURpHibDAduRUg,לכיש,31.560907,34.84409
230,"Revadim, Israel",ChIJh1S15Na-AhUR60ANzXz0fo8,רבדים,31.773965999999998,34.814807
231,Israel,ChIJWdLBsp6-AhURILedFynegTM,ברורים,31.767771999999997,34.779517999999996
232,"Gedera, Israel",ChIJ01avgGW5AhURMUaFg-ORCIk,גדרה,31.812301399999996,34.77701920000001
233,"Ganei Tal, Israel",ChIJQ4SRTUu5AhURwR2vE1yg3EA,גני טל,31.788573,34.791392
234,"Hafetz Haim, Israel",ChIJS3dPRjS5AhUR-7NhQ5c-9PU,חפץ חיים,31.789319,34.799739
235,"Yad Binyamin, Israel",ChIJ937SB9-4AhURjX5Fb3JPQpk,יד בנימין,31.796684999999997,34.820370000000004
236,"Kidron, Israel",ChIJs_GT0Gy5AhURrbEd1XGr6U0,קדרון,31.814141999999997,34.795548
237,"Beit Elazari, Israel",ChIJgb6558e5AhURtZjRgPfxk94,בית אלעזרי,31.844717,34.806627
238,"Beit Hilkia, Israel",ChIJudlIeSW5AhURUR9P9VwOSA0,בית חלקיה,31.793001,34.809698
239,"Bnei Re'em, Israel",ChIJNVI03r2-AhURfveKDaP92qc,בני ראם,31.769971999999996,34.790463
240,"Abu Ghosh, Israel",ChIJ40bxIN_QAhUR7azWMEhNx4c,אבו גוש,31.806293,35.109193
241,Israel,ChIJB7dZXJvQAhURC4i7SBqvbRk,איתנים,31.7786992,35.095020500000004
242,"Beit Meir, Israel",ChIJNVszRf7PAhURxwbArwcb_20,בית מאיר,31.794786,35.036753000000004
243,"Bar Giora, Israel",ChIJbeirjQ_bAhURbzcdoOtmEhk,בר גיורא,31.729683,35.073414
244,"Giv'at Ye'arim, Israel",ChIJkWRbyY_QAhUR_jyRw0AHR98,גבעת יערים,31.786089,35.09277
245,"Yad HaShmona, Israel",ChIJT3md9PvQAhURKQELmf8ZEDA,יד השמונה,31.80955,35.089617
246,"Yedida, Israel",ChIJtRDMhh_RAhURMPRgKMDDISE,ידידה,31.812281,35.104639
247,"Ksalon, Israel",ChIJaRziwbDaAhURP6beEvG0-1I,כסלון,31.774262,35.048171
248,"Mata, Israel",ChIJKdQ9gULbAhURuctGQmrV-1A,מטע,31.716521999999998,35.060571
249,"Neve Ilan, Israel",ChIJc4qFJ1jQAhURXPH06yir4Rs,נווה אילן,31.807584999999996,35.080921999999994
250,"Nataf, Israel",ChIJJdRSgrrRAhURYU80ccsXDtU,נטף,31.831276000000003,35.06957999999999
251,"Nes Harim, Israel",ChIJP9BEcyDbAhURNuR1dVdXzxg,נס הרים,31.74419199999999,35.059406
252,"Ein Naqquba, Israel",ChIJy8pOQc7QAhURO4Rbs41aVeo,עין נקובא,31.793909999999997,35.11968299999999
253,"Ein Rafa, Israel",ChIJhbTapMjQAhURgMyknCmTDPY,עין ראפה,31.790605,35.116514
254,"Kiryat Ye'arim, Israel",ChIJsa0WDebQAhURapOu2dpW5-A,קרית יערים,31.802774,35.099945
255,"Ramat Raziel, Israel",ChIJobzgioTaAhUR_iQ7wn8knc8,רמת רזיאל,31.773573,35.074447
256,"Sho'eva, Israel",ChIJfUcjP17QAhURxZMEeyq4SFw,שואבה,31.799369,35.079003
257,"Shoresh, Israel",ChIJSWQfCmzQAhURgMUfh7EzZ8g,שורש,31.797488,35.06529700000001
258,"Even Sapir, Israel",ChIJu0VwTVbXAhURuK5LaRytITk,אבן ספיר,31.7625,35.134991
259,"Ora, Israel",ChIJ5SxoFd7ZAhURIAohOUC3v60,אורה,31.752109,35.150165
260,"Mevo Beitar, Israel",ChIJ_TlBscnbAhURu9svi8Ty7CU,מבוא ביתר,31.722592,35.106656
261,"Aminadav, Israel",ChIJN2fAO-TZAhUR4d7Hh5v9Y_8,עמינדב,31.75170499999999,35.142428
262,"Tzur Hadassah, Israel",ChIJjyGoprvbAhUR2HXSA-OgXCg,צור הדסה,31.719374,35.096958
263,"Gvulot, Israel",ChIJE7dGnVSK_RQRrptggvqLSh0,גבולות,31.211168,34.466198999999996
264,"Tze'elim, Israel",ChIJ15tqqL91AhURfwoNkIoyByE,צאלים,31.203909000000003,34.533359000000004
265,"Tlalim, Israel",ChIJf-N2nVURAhURtoUJG_Ej1NU,טללים,30.991511,34.771260999999996
266,"Kmehin, Israel",ChIJGcmz45n-_RQRXE4b6IxY1rk,כמהין,30.910327000000002,34.430725
267,,,מעלה שביט,,
268,"Mashabei Sadeh, Israel",ChIJf_Zs9g0UAhURoSrUZiI8Asg,משאבי שדה,31.00404199999999,34.785028999999994
269,Israel,ChIJqzfmjXf-_RQRXaVPoMejmyk,ניצנה כפר נוער,30.886468,34.421518
270,"Nitzanei Sinai, Israel",ChIJA88UQrX9_RQRMzNzqFAJRZg,ניצני סיני,30.903428,34.396679
271,"Ezuz, Israel",ChIJT6_HCq8B_hQRlNn956piTaA,עזוז,30.792202000000003,34.472404
272,"Kzi'ot, Israel",ChIJS8lGZLL__RQRwXHM04vumBI,קציעות,30.872313000000002,34.467412
273,Israel,ChIJbeaEzaURAhUR6AX3gpHOb8k,ראם תשלובת חקלאית,30.979013000000002,34.723620000000004
274,"Revivim, Israel",ChIJfWP5BlcSAhURlx-NLo_eY0Q,רביבים,31.045195,34.72108600000001
275,"Ruakh ba-Midbar, Israel",ChIJqRD7DAsRAhUR8yATFTLYZt8,רוח במדבר,30.98153499999999,34.733883
276,"Retamim, Israel",ChIJ2URJg34SAhURmcpq2w-bxHo,רתמים,31.054009999999998,34.690902
277,"Shivta, Israel",ChIJ35lUenoEAhUR7i_ds4-M3uM,שיבטה,30.881121000000004,34.630835999999995
278,"Ashalim, Israel",ChIJnW7chjAQAhUR_dKB50kK9pI,אשלים,30.964245000000002,34.699674
279,"Be'er Milka, Israel",ChIJyWUGUg78_RQRqXvrwzcuPvw,באר מילכה,30.934112,34.405643
280,"Bir Hadaj, Israel",ChIJCVBAfmUSAhURgootzaCRF9g,ביר הדאג',31.023159999999997,34.709138
281,Ortal,ChIJpTo6uWuvHhURwzgG4hURsIA,אורטל,33.086236,35.758661
282,Alonei Habashan,ChIJHUvogwWsHhURhKx3OsXsexg,אלוני הבשן,33.044087,35.838507
283,,,יונתן,,
284,Merom Golan,ChIJka8l7tavHhURlicUkeUKIDM,מרום גולן,33.132583000000004,35.77707100000001
285,Ein Zivan,ChIJ1aaOa1quHhUR_wPYsnNLfiY,עין זיוון,33.09645,35.796313
286,"The Gateway Arch, St. Louis, MO 63102, USA",ChIJteVBdWDwwIcRNKiWxoko7Xk,קשת,38.624691,-90.1847763
287,"El-Athamin (South to Nevatim), Israel",ChIJZQcwSUldAhURV-2A1ODOuC4,אל עת'אמין,31.20614599999999,34.879442
288,"Bir Abu el-Hamam, Israel",ChIJqxV1YRpdAhURkCIO7JYICjk,ביר אבו אל חמאם,31.222267,34.896634000000006
289,"Nevatim, Israel",ChIJh-_emmpdAhURoTTl17AkWIM,נבטים,31.219761,34.882488
290,"Shaqib al-Salam, Israel",ChIJswxZt2xoAhURxDNoc52Lr2E,שגב שלום,31.198361,34.839665000000004
291,"Abu Queider El Afauy (South to Nevatim), Israel",ChIJqUU_zlpdAhURp41IpvTpGO4,אבו קוידר אל עפאוי דרומית לנבטים,31.213979,34.873003000000004
292,"Abu Tulul, Israel",ChIJ875c7a5DAhUR2hjBSpbt5vI,אבו תלול,31.142612,34.913514
293,"El-Hamidi, Israel",ChIJ_4jvjVJdAhUR9R9Yz2PmwQA,אל חמידי,31.204259000000004,34.87237400000001
294,"Shomrat, Israel",ChIJoRNbITvJHRURPxMf2JR9QLA,שמרת,32.95148,35.094955
295,"Bustan HaGalil, Israel",ChIJ3fiLeeDIHRURdapvNthFzwk,בוסתן הגליל,32.948636,35.08068799999999
296,"Beit HaEmek, Israel",ChIJL8cV8z7MHRURYxU_-U989SU,בית העמק,32.971014000000004,35.145305
297,"Makr, Jadeidi-Makr, Israel",ChIJqf8xS-_LHRUREOnvAKGA0Uw,ג'דידה מכר,32.935159000000006,35.139038799999994
298,"Kfar Masaryk, Israel",ChIJT2k2nNvJHRURQ-9c5ePQP2c,כפר מסריק,32.891218,35.098414
299,"Nes Ammim, Israel",ChIJvYXPAabOHRURU00xUvMQuVw,נס עמים,32.965465,35.121588
300,"Netiv HaShayara, Israel",ChIJsyo2OSvMHRUReSYB7_nB9qo,נתיב השיירה,32.991184999999994,35.130745000000005
301,"Ein HaMifratz, Israel",ChIJJVkaj8jJHRURi-UI6-NKidU,עין המפרץ,32.902581,35.09303999999999
302,"Acre, Israel",ChIJJZyyA_7IHRURKcNNgOVZmHA,עכו,32.933052,35.082678
303,"Sheikh Danun, Israel",ChIJsTbyisnNHRURJfSAexgAE2A,שייח' דנון,32.9938295,35.14856839999999
304,"Giv'at Shmuel, Israel",ChIJrefIUhBKHRURgGM51orRChk,גבעת שמואל,32.077299,34.849206
305,"Giv'atayim, Israel",ChIJpwmMR7pLHRUR98g1DgIgZ4c,גבעתיים,32.072176,34.808871
306,"Havat Shalem, Israel",ChIJryXWwOBKHRURgD5xXz2HKZY,חוות שלם,32.039601,34.822714000000005
307,"Petah Tikva, Israel",ChIJuVMHo3M2HRURPETBIx9l4M0,פתח תקווה,32.084041,34.887762
308,"Ramat Gan, Israel",ChIJreSU54ZMHRURb1IX5z6_AC0,רמת גן,32.068424,34.824785
309,"Bnei Brak, Israel",ChIJeXLMWyNKHRURhzlCjBfKL6M,בני ברק,32.084932,34.835226
310,"Azor, Israel",ChIJYUAPOjRLHRUR_NH9fByeZTY,אזור,32.029558,34.799648
311,"Bat Yam, Israel",ChIJi7MrQRKzAhURMpxIzGUalrI,בת ים,32.013186,34.748019
312,"Holon, Israel",ChIJOb8zDLu0AhURLeclBWR53fs,חולון,32.015833,34.787384
313,"Derech HaKramim, Israel",ChIJy1r4DlNLHRURVXLQVH03ICY,מקווה ישראל,32.0331743,34.7814667
314,"Kfar HaNagid, Israel",ChIJGUlzL5mwAhUR6BUg0aJSg7U,כפר הנגיד,31.887134000000003,34.748725
315,"Ge'alya, Israel",ChIJf3tezq-wAhURI9MsCF3fx4g,גאליה,31.885644,34.765351
316,"Yavne, Israel",ChIJs32SQXq6AhUR5H65MScHmUE,יבנה,31.877958000000003,34.739449
317,"Re'im, Israel",ChIJ-VWeM-GG_RQRi81n7Ca5bXg,רעים,31.386159000000003,34.458822999999995
318,"Yakhini, Israel",ChIJa6ennyyHAhURidanjkgfWfY,יכיני,31.482205,34.598634000000004
319,,,זוהר,,
320,"Yad Natan, Israel",ChIJm5na_bSQAhURvBuJZ0PRM8E,יד נתן,31.652960999999998,34.704874
321,"Kokhav Michael, Israel",ChIJzX_PSmGaAhURuHqkC-fZVos,כוכב מיכאל,31.631482000000002,34.667794
322,"Negba, Israel",ChIJj5C3BQKaAhURhQuuWmkoySs,נגבה,31.662546999999996,34.679561
323,"Nehora, Israel",ChIJSe4IZ4yQAhUR3S6rcWDOvbA,נהורה,31.621321000000002,34.704496
324,"Noga, Israel",ChIJzfsnC4WQAhURAm1a8o6lXbw,נוגה,31.625690999999996,34.69528
325,"Nir Hen, Israel",ChIJ8ZtvO1mQAhURFqiYuarUIqg,"ניר ח""ן",31.608906,34.714282
326,"Otzem, Israel",ChIJ2YNLAL-QAhUR2dpuqZ3rhYY,עוצם,31.637665000000002,34.705108
327,"Sde Yoav, Israel",ChIJEXLhBA2aAhUR-hFbJAJaolk,שדה יואב,31.645722999999997,34.676849
328,,,שחר,,
329,"E-Ziyadna (South to Rahat), Rahat, Israel",ChIJMTq2bVJiAhURzdiFIaDunFo,א זיאדנה דרומית לרהט,31.367093,34.740095000000004
330,"E-Ziyadna (North to Rahat), Israel",ChIJ2caGQyCKAhURYZ8Hb_J_HFA,א זיאדנה צפונית לרהט,31.414434999999997,34.77579
331,"El-Heil, Israel",ChIJUe9oWdyJAhURYI3ETx21M4M,אל הייל,31.408423,34.748283
332,"Hukok, Israel",ChIJSat2iIs8HBURCin3SjAW3xM,אל חוקוק,32.878631,35.496654
333,"El-Ata'iqa, Rahat, Israel",ChIJaQ4X_kNiAhURa2OBw-xNG_s,אל עתאיקה,31.376914000000003,34.746404999999996
334,"Beit Kama, Israel",ChIJVRgYG3CJAhURSJ_tppYDakQ,בית קמה,31.446565999999997,34.762248
335,"Giv'ot Bar, Israel",ChIJxbXOEMtjAhUR2zhy3Z-9l8A,גבעות בר,31.357209,34.755541
336,"Dvir, Israel",ChIJBxYsk_uKAhURvaJnAFnZaF4,דבירה,31.411699,34.825177000000004
337,,,הוזייל,,
338,"Adanim Youth Village, Israel",ChIJf1MggZ2JAhURaJ7ExjD7G2w,כפר נוער עדנים,31.4375,34.76
339,"Lahav, Israel",ChIJFxZB3Uj1AhURlv-f-Lxvpc4,להב,31.379363,34.871311
340,"Lehavim, Israel",ChIJjTc0QNNhAhURvi4DnHT6Kks,להבים,31.373834999999996,34.816952
341,"צומת, Beit Kama, Israel",ChIJB-UWt3uJAhURgzfdCVK5Nvs,מפעלי אבשלום,31.4424287,34.7610131
342,"Mishmar HaNegev, Israel",ChIJ_9jeWhtjAhUR6t_HZHqiKXw,משמר הנגב,31.364796000000002,34.717968000000006
343,"Rahat, Israel",ChIJmYPjYgtiAhURSKycipB75Hc,רהט,31.394547999999997,34.753934
344,"Shoval, Israel",ChIJFfqQmsSJAhURWfhGAfryX2Y,שובל,31.413734,34.745814
345,"Tirabin al-Sana, Israel",ChIJnd_c7qJjAhURfwMDygo5orU,תראבין א צאנה,31.345481,34.739126
346,"Ben Shemen, 7311200, Israel",ChIJV6fIrmzLAhURypxCfeh8gfw,בן שמן כפר נוער,31.95966499999999,34.929056
347,"Ginaton, Israel",ChIJs18anBvLAhUReR5Ru0f4aiY,גינתון,31.962801000000002,34.913062
348,"Kerem Ben Shemen, Israel",ChIJx-2B_WvLAhURacTW3ViPt-8,כרם בן שמן,31.958896000000003,34.934104
349,"Lod, Israel",ChIJoQbRWlzKAhURGoHKB15E7qw,לוד,31.951014,34.888075
350,"Nir Tzvi, Israel",ChIJr7xkOoi1AhURCEZfk5l1x-c,ניר צבי,31.954403000000003,34.861529
351,"Be'er Ya'akov, Israel",ChIJy7mXtcK1AhUR99sk2N-jKFo,באר יעקב,31.943507,34.839040000000004
352,"Yashresh, Israel",ChIJ5Z7ryha2AhURK9LU21tbEqA,ישרש,31.915667,34.847336999999996
353,"Matsli'ah, Israel",ChIJV-5tUObJAhURYIOr93CWdCk,מצליח,31.906364,34.871278000000004
354,"Tzrifin, Israel",ChIJMYGn-ZW1AhURfrUokzywAgY,צריפין,31.957328000000004,34.840565999999995
355,"Ramla, Israel",ChIJcSCzSQXKAhUREqDRNdWzQAg,רמלה,31.931565999999997,34.872938
356,"Irus, Israel",ChIJnSEad8u2AhURBZU44ytVuZc,אירוס,31.928595,34.776604999999996
357,"Givat Brenner, Israel",ChIJAdXkJGK3AhURxj71smLD6FU,גבעת ברנר,31.866609999999998,34.802254
358,"Gibton, Israel",ChIJ5fSX_xS3AhURMu-45qQEjLo,גיבתון,31.888317999999998,34.79906
359,"Kvutzat Shiller, Israel",ChIJoQX5qWm3AhURcTwnmvysmpQ,גן שלמה,31.878777000000003,34.798901
360,"Netzer Sereni, Israel",ChIJHxOn_mO2AhURAb79xDAp3yg,נצר סרני,31.922789,34.821191
361,"Rehovot, Israel",ChIJj-W_kgW3AhURV_lYF8v4re4,רחובות,31.892773,34.811271999999995
362,"Beit Hanan, Israel",ChIJT0T6GLW2AhURVNd_ylylatM,בית חנן,31.935211,34.775596
363,"Beit Oved, Israel",ChIJgVtI2tK2AhUR4chZ_T9AEAw,בית עובד,31.921287,34.774905
364,"Ness Ziona, Israel",ChIJJbOI0Za2AhURJ70ufX-3YZo,נס ציונה,31.932111,34.801327
365,"Ayanot, Israel",ChIJpdl-_CmxAhURMGQWfk4RNqk,עיינות,31.91579999999999,34.768097
366,"Ahisamakh, Israel",ChIJOXy3ZLXLAhURoJgIvWujKWI,אחיסמך,31.931906,34.908576000000004
367,"Ben Shemen Youth Village, Israel",ChIJOe5JOBPLAhURv4kTE4-jPgI,בן שמן,31.959019,34.927831
368,Si'ir,ChIJCyhpsb7gAhURdc1hqN4OsGk,סיעיר,31.582455,35.143776
369,Abdalla Ibrahim,ChIJVRsBvtbeAhURicvrj0TECfE,עבדאללה איברהים,31.664956,35.166734999999996
370,Rosh Tzurim,ChIJVfpnah7cAhURP2zVraHI2e0,ראש צורים,31.66779099999999,35.125288
371,Beit Ummar,ChIJCyHq9ZLdAhURLl-O9PfmmE0,בית אומר,31.622812,35.102199
372,Bayt Kahil,ChIJ3xAroEXmAhUR7HJqfL-sqoc,בית כאחיל,31.57054699999999,35.068931
373,Bayt Sakarya,ChIJj1THvCHcAhURIQVkhT9dTZw,בית סכריא,31.662876,35.123008
374,Bayt Fajar,ChIJu8EEcETeAhURkKWcuu51uhA,בית פג'אר,31.621635499999996,35.154903000000004
375,Betar Illit,ChIJT1oSV_rbAhURCxq8bq_qRS0,ביתר עילית,31.7010023,35.1119254
376,Bat Ayin,ChIJ-9t5bEncAhURhMEsJnsLPMo,בת עין,31.657653000000003,35.101101
377,Battir,ChIJPemLzJrZAhURUy-OPplJW4I,בתיר,31.728181,35.138032
378,Bayt Jala,ChIJG1dFnETYAhURc8pEC3CXOGU,ג'אלא,31.715999,35.187149
379,Jab'a,ChIJS0oI_PPcAhURWdHnIDwoy74,ג'בעה,31.674467,35.076957
380,Har Gillo,ChIJrXZL10zYAhURQQDvd94iknE,הר גילה,31.722058,35.171490999999996
381,Wadi Fukin,ChIJTfyGz5TbAhUR_tJJfBVqflg,ואדי פוכין,31.707271999999996,35.104193
382,Khirbat Safa,ChIJ8R3yabfdAhURRwUHh8yTvVI,ח'ירבת ספא,31.64261699999999,35.100808
383,Husan,ChIJtZmhZmTZAhUR7Ve1HUEot7k,חוסאן,31.708426,35.133425
384,Halhul,ChIJmdBw-xjnAhURgaDWgn-PG04,חלחול,31.5798898,35.099904200000005
385,,,חסכה,,
386,Kweizba,ChIJtQhcGiPeAhURlmewNKyFwa4,כוויזבא,31.603912,35.152208
387,Kfar Ezion,ChIJ9esxhjLcAhURL6KmolX_97U,כפר עציון,31.649486,35.115234
388,Karmei Zur,ChIJ62_SpWHnAhURjUGe-_TvTvo,כרמי צור,31.609468,35.101273
389,Migdal Oz,ChIJdQ9mf4neAhURUhFCsD-7ZIY,מגדל עוז,31.640932,35.143139
390,Al Aroub,ChIJ_V6-gW3eAhUR6CDSrkveB9w,מועסכר אל ערוב,31.62260199999999,35.13812600000001
391,Marah Al-Baqr,ChIJmW5uc53nAhURaKG1MA1R8ws,מראח אל בקר,31.605667999999998,35.081604
392,Neve Daniel,ChIJ-apqfbPeAhURb71VO6Wo7pI,נווה דניאל,31.67632,35.143293
393,Nahalin,ChIJOzAsp_jbAhURtXfRRSIuFbk,נחאלין,31.685608000000002,35.12036200000001
394,Surif,ChIJXw_C6xbdAhURwHUo_uqCBZs,סוריף,31.649552000000003,35.064712
395,alShuyukh,ChIJKUKEmergAhUREBYKaAopiVw,א שויוח,31.574996000000002,35.149421000000004
396,Al Aroub,ChIJ_V6-gW3eAhUR6CDSrkveB9w,אל ערוב,31.62260199999999,35.13812600000001
397,Alon Shvut,ChIJVwHBwyfcAhURdjq_PikLbJg,אלון שבות,31.654871000000004,35.125256
398,Elazar,ChIJBc8P3r3eAhURqKx0jYUnKsA,אלעזר,31.659676,35.143074
399,,,אפרתה,,
400,Al-Masara,ChIJd4IphzbfAhURZWpeTGkvLa0,מעסרה,31.658258,35.189953
401,Mezad Shim'on,ChIJZ33ny5TfAhUROeoVBRhLLTM,מצד שמעון,31.601868,35.196727
402,Marah Rabah,ChIJL582DQ7fAhURm0liIY72Dk8,מראח רבאח,31.633422999999997,35.186779
403,Nokdim,ChIJd3EZwswgAxUR0ttEmaYrUYM,נוקדים,31.645331,35.244064
404,Ubeidiya,ChIJH8fAgbAoAxURcxhCE_KrgJA,עובידייה,31.72383,35.291821
405,al-Eizariya,ChIJ3RXQRRApAxURdZmIalTY8Rk,עיזרייה,31.769135,35.271533000000005
406,Ilat Ali,ChIJlwUR6mYnAxURT6gDwXBMCWc,עילת עלי,31.676971999999996,35.22177
407,Arab alSham'a,ChIJd0tKqyXfAhURFsaRA79KxrI,ערב א שמעה,31.65461999999999,35.178852
408,Kedar,ChIJ8zlw0tEuAxUR7G_HbjjX0Fk,קדר,31.754384,35.310732
409,Ras Sinsil,ChIJ_WoPb04mAxURjGAkw8fiLoU,ראס סניסיל,31.691451,35.265172
410,Rafida,ChIJ4dDCREMnAxURrcXcTYRj8UY,רפידא,31.667633000000002,35.22673899999999
411,Tuqu',ChIJecBHB1_fAhUR-7L079OEKLw,תוקוע,31.639093,35.21249
412,,,תעמרה,,
413,Tekoa,ChIJ98SaPk0nAxURCPTC3MI2Y44,תקוע,31.652784999999998,35.227517
414,Hebron,ChIJ-2PE7CfkAhURTBMvalxNRr4,א דיר במזרח הר חברון,31.532569,35.09982600000001
415,Abu Nujaym,ChIJhdbcabPYAhURu21nzTIY8AQ,אבו נוג'ים,31.661920000000002,35.199290999999995
416,Umm al-Tala',ChIJ069wv0smAxURCzj9n-2__Js,אום א טלע,31.696828999999997,35.262868
417,Umm Salmuna,ChIJCUNRCOTeAhURxnpG4xfG8CU,אום סלמונה,31.645665,35.165229
418,Umm 'Asala,ChIJKeoQ4RUmAxURc_2muz709n4,אום עסלה,31.699140999999997,35.281913
419,al-Khader,ChIJYdI8_x3ZAhURrePAACr_o80,אל ח'דר,31.694810999999998,35.170745000000004
420,Metzad,ChIJe3G8M9_fAhURaMwCY_-l0Ko,אספר,31.586152000000002,35.187594
421,Irtas,ChIJdfooEezYAhURsyUhGyRZBZE,ארטאס,31.689957,35.188235999999996
422,Bad Fluh,ChIJ6-nPsl4nAxURz6zmeyJhS0w,בד פלוח,31.669249,35.219529
423,Buwaidi'a,ChIJgXqg_3AnAxURlGCcm3jwfIo,בווידיעה,31.683946000000002,35.228412
424,Hebron,ChIJ-2PE7CfkAhURTBMvalxNRr4,ביאדה בהר חברון,31.532569,35.09982600000001
425,Bayt Rahal,ChIJKbVDt9PYAhUR8smC1NhP39c,בית רחאל,31.670686,35.178490999999994
426,"Ha-Biluyim St 9, Gedera, Israel",ChIJ01avgGW5AhURK77L-yJpgrA,בית תעמר,31.8150576,34.77280579999999
427,"Basma, Israel",ChIJ1yMQEh8HHRURl7bTE5W5qtM,ברד'עה,32.52940100000001,35.103199
428,Jahalin,ChIJW7C3UD0pAxURvFcTS74mWPY,ג'האלין,31.764899,35.281138
429,,,ג'וב א רום,,
430,Juhazm,ChIJmyV1GzsmAxURBxHEDZ6lFFA,ג'והזם,31.705446000000002,35.272951000000006
431,Jorat al-Sham'a,ChIJtxIOtyHfAhURDL-BTMGs7s0,ג'ורת א שמעה,31.650025,35.174198
432,Dahr Halat al-Jami',ChIJExQLErDYAhURApEu02RRZLg,ד'הר חלת אל ג'אמיע,31.668884999999996,35.202744
433,Dheisha,ChIJ7-Iks-_YAhURTYLAh_SJxRk,דהיישה מחנה פליטים,31.693516,35.184562
434,,,ואדי אל עראיס,,
435,Za'tara,ChIJWy25FgMnAxUReou1o0mVlN0,זעתרה,31.674444,35.255091
436,Harzan,ChIJseqB_I0oAxURmrDvl-r1jBE,ח'רזאן,31.733553999999998,35.269247
437,Hujayla,ChIJLTo1HswnAxUR1i0N_vjU72k,חוג'ילה,31.709459000000003,35.253381
438,Harmala,ChIJ4UdtLFcnAxURJDI5KKSBY_w,חרמלה,31.6610022,35.2219894
439,Kfar Eldad,ChIJLXWNey8nAxURmu39720BCT0,כפר אלדד,31.653953,35.250995
440,,,מיניה,,
441,Ma'ale Adumim,ChIJk_sscakuAxURGL1i9kMPn7Y,מעלה אדומים,31.777369,35.297955
442,Ma'ale Amos,ChIJtaqZmm4gAxUR2az8ugEqJhY,מעלה עמוס,31.596887,35.22936500000001
443,"Uza, Israel",ChIJsxO7FYORAhUR84hNicGwQ9k,עוזה,31.593041999999997,34.764524
444,"Kiryat Gat, Israel",ChIJO6bnsmaRAhUR_WhTM9BYac8,קרית גת,31.611147999999996,34.768459
445,"Sde Moshe, Israel",ChIJhY3j8pOTAhURgPsbG-xzGWU,שדה משה,31.610982,34.800427
446,,,שלווה,,
447,"Even Shmuel, Israel",ChIJOdn1V-2RAhURhdCul0vD0Z8,אבן שמואל,31.576428999999997,34.762963
448,"Ahuzam, Israel",ChIJifW3owGOAhURL_ytd2dy3FA,אחוזם,31.552682,34.770151
449,"Eitan, Israel",ChIJQ-PGN8ORAhUR1LO-dKC2-Ok,איתן,31.572213,34.747909
